id,zipcode,city,state,fo,dds,oho,fo_id,dds_id,oho_id
2,1001,Agawam,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
3,1002,Cushman,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
4,1003,Amherst,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
5,1004,Amherst,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
6,1005,Barre,MA,WORCESTER MA,,SPRINGFIELD MA,,,
7,1007,Belchertown,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
8,1009,Bondsville,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
9,1010,Brimfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
10,1011,Chester,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
11,1012,Chesterfield,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
12,1013,Chicopee,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
13,1014,Chester,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
14,1020,Chicopee,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
15,1021,Chicopee,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
16,1022,Westover Afb,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
17,1026,Cummington,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
18,1027,Mount Tom,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
19,1028,East Longmeadow,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
20,1029,East Otis,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
21,1030,Feeding Hills,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
22,1031,Gilbertville,MA,WORCESTER MA,,SPRINGFIELD MA,,,
23,1032,Goshen,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
24,1033,Granby,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
25,1034,Tolland,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
26,1035,Hadley,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
27,1036,Hampden,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
28,1037,Hardwick,MA,WORCESTER MA,,SPRINGFIELD MA,,,
29,1038,Hatfield,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
30,1039,Haydenville,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
31,1040,Holyoke,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
32,1041,Chicopee,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
33,1050,Huntington,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
34,1053,Leeds,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
35,1054,Leverett,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
36,1056,Ludlow,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
37,1057,Monson,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
38,1059,Holyoke,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
39,1060,Florence,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
40,1061,North Amherst,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
41,1062,Florence,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
42,1063,Northampton,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
43,1066,North Hatfield,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
44,1068,Oakham,MA,WORCESTER MA,,SPRINGFIELD MA,,,
45,1069,Palmer,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
46,1070,Plainfield,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
47,1071,Russell,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
48,1072,Shutesbury,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
49,1073,Southampton,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
50,1074,South Barre,MA,WORCESTER MA,,SPRINGFIELD MA,,,
51,1075,South Hadley,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
52,1077,Southwick,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
53,1079,Thorndike,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
54,1080,Three Rivers,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
55,1081,Wales,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
56,1082,Ware,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
57,1083,Warren,MA,WORCESTER MA,,SPRINGFIELD MA,,,
58,1084,West Chesterfield,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
59,1085,Montgomery,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
60,1086,Westfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
61,1088,West Hatfield,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
62,1089,West Springfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
63,1090,"""West Springfield""""""",MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
64,1092,West Warren,MA,WORCESTER MA,,SPRINGFIELD MA,,,
65,1093,Whately,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
66,1094,Wheelwright,MA,WORCESTER MA,,SPRINGFIELD MA,,,
67,1095,Wilbraham,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
68,1096,Williamsburg,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
69,1097,Woronoco,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
70,1098,Worthington,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
71,1101,Springfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
72,1102,Springfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
73,1103,Springfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
74,1104,Springfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
75,1105,Springfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
76,1106,Longmeadow,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
77,1107,Springfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
78,1108,Springfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
79,1109,Springfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
80,1111,Springfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
81,1115,Springfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
82,1116,Springfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
83,1118,Springfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
84,1119,Springfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
85,1128,Springfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
86,1129,Springfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
87,1138,Springfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
88,1139,Springfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
89,1144,Springfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
90,1151,Indian Orchard,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
91,1152,Springfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
92,1199,Springfield,MA,SPRINGFIELD MA,,SPRINGFIELD MA,,,
93,1201,Pittsfield,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
94,1202,Pittsfield,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
95,1203,Pittsfield,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
96,1220,Adams,MA,NORTH ADAMS MA,,SPRINGFIELD MA,,,
97,1222,Ashley Falls,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
98,1223,Becket,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
99,1224,Berkshire,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
100,1225,Cheshire,MA,NORTH ADAMS MA,,SPRINGFIELD MA,,,
101,1226,Dalton,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
102,1227,Dalton,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
103,1229,Glendale,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
104,1230,Great Barrington,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
105,1235,Peru,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
106,1236,Housatonic,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
107,1237,Hancock,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
108,1238,Lee,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
109,1240,Lenox,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
110,1242,Lenox Dale,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
111,1243,Middlefield,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
112,1244,Mill River,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
113,1245,West Otis,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
114,1247,Clarksburg,MA,NORTH ADAMS MA,,SPRINGFIELD MA,,,
115,1252,North Egremont,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
116,1253,Otis,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
117,1254,Richmond,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
118,1255,Sandisfield,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
119,1256,Savoy,MA,NORTH ADAMS MA,,SPRINGFIELD MA,,,
120,1257,Sheffield,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
121,1258,South Egremont,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
122,1259,Southfield,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
123,1260,South Lee,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
124,1262,Stockbridge,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
125,1263,Stockbridge,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
126,1264,Tyringham,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
127,1266,West Stockbridge,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
128,1267,Williamstown,MA,NORTH ADAMS MA,,SPRINGFIELD MA,,,
129,1270,Windsor,MA,PITTSFIELD MA,,SPRINGFIELD MA,,,
130,1301,Greenfield,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
131,1302,Greenfield,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
132,1330,Ashfield,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
133,1331,New Salem,MA,GARDNER MA,,SPRINGFIELD MA,,,
134,1337,Leyden,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
135,1338,Buckland,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
136,1339,Hawley,MA,HOLYOKE MA,,SPRINGFIELD MA,,,
