id,sscode,office_type,name,address1,address2,address3,city,state,zipcode,tel_public,tel_admin,fax,notes
2,001,FO,PORTLAND ME,Social Security Administration,SUITE 150,550 FOREST AVE,PORTLAND,ME,04101,(877) 319-3076,,,
3,002,FO,BANGOR ME,Social Security Administration,ROOM 10307,202 HARLOW ST,BANGOR,ME,04401,(877) 405-1448,,,
4,003,FO,AUGUSTA ME,Social Security Administration,SUITE 4,330 CIVIC CENTER DR,AUGUSTA,ME,04330,(866) 882-5422,,,
5,004,FO,AUBURN ME,Social Security Administration,SUITE 5,600 TURNER STREET,AUBURN,ME,04210,(866) 627-6996,,,
6,005,FO,PRESQUE ISLE ME,Social Security Administration,,365 MAIN ST,PRESQUE ISLE,ME,04769,(866) 837-2719,,,
7,006,FO,ROCKLAND ME,Social Security Administration,SUITE A,231 PARK STREET,ROCKLAND,ME,04841,(855) 269-9179,,,
8,007,FO,MEADVILLE PA,Social Security Administration,,19063 PARK AVE PLAZA,MEADVILLE,PA,16335,(888) 347-9276,,,
9,009,FO,PHILA SOUTH PA,Social Security Administration,STADIUM PLAZA,3336 S BROAD STREET,PHILADELPHIA,PA,19145,(800) 772-1213,,,
10,010,FO,CONCORD NH,Social Security Administration,STE 100,70 COMMERCIAL ST,CONCORD,NH,03301,(888) 397-9798,,,
11,011,FO,PORTSMOUTH NH,Social Security Administration,ROOM 210A,80 DANIEL ST,PORTSMOUTH,NH,03801,(888) 397-9796,,,
12,012,FO,MANCHESTER NH,Social Security Administration,SUITE 201,1100 ELM ST,MANCHESTER,NH,03101,(866) 814-5408,,,
13,013,FO,LITTLETON NH,Social Security Administration,,177 Main St,Littleton,NH,03561,(877) 405-7658,,,
14,014,FO,NASHUA NH,Social Security Administration,SUITE 2,175 AMHERST ST,NASHUA,NH,03064,(877) 444-0134,,,
15,015,FO,KEENE NH,Social Security Administration,,9 ELM STREET,KEENE,NH,03431,(877) 405-3651,,,
16,019,FO,BALTO NE MD,Social Security Administration,STE 106,2401 BELAIR RD,BALTIMORE,MD,21213,(800) 772-1213,,,
17,020,FO,BALTO WEST MD,Social Security Administration,SUITE S,1531 S EDGEWOOD STREET,BALTIMORE,MD,21227,(800) 772-1213,,,
18,022,FO,BURLINGTON VT,Social Security Administration,Suite 107,128 Lakeside Ave,Burlington,VT,05401,(877) 840-5776,,,
19,023,FO,RUTLAND VT,Social Security Administration,330 ASA BLOOMER BLDG,88 MERCHANTS ROW,RUTLAND,VT,05701,(866) 690-1944,,,
20,024,FO,MONTPELIER VT,Social Security Administration,,33 School St,Montpelier,VT,05602,(877) 505-4542,,,
21,025,FO,PAGO PAGO AM SAMOA,Social Security Administration,CENTENNIAL BUILDING,3RD FLR SUITE 302,PAGO PAGO,AS,96799,(800) 772-1213,,,
22,026,FO,CRENSHAW CA,Social Security Administration,,3840 CRENSHAW BLVD,LOS ANGELES,CA,90008,(800) 772-1213,,,
23,027,FO,SAN FERNANDO CA,Social Security Administration,,456 S F MISSION BLVD,SAN FERNANDO,CA,91340,(800) 772-1213,,,
24,028,FO,EAST OAKLAND CA,Social Security Administration,EASTMONT TOWN CENTER,7200 BANCROFT AVENUE,OAKLAND,CA,94605,(800) 772-1213,,,
25,030,FO,BOSTON MA,Social Security Administration,Room 148,10 Causeway Street,Boston,MA,02222,(800) 772-1213,,,
26,031,FO,SPRINGFIELD MA,Social Security Administration,,70 BOND STREET,SPRINGFIELD,MA,01104,(866) 964-5061,,,
27,032,FO,CAMBRIDGE MA,Social Security Administration,FIRST FLR,10 FAWCETT ST,CAMBRIDGE,MA,02138,(800) 772-1213,,,
28,033,FO,ROXBURY MA,Social Security Administration,,10 MALCOLM X BLVD,ROXBURY,MA,02119,(800) 772-1213,,,
29,034,FO,LYNN MA,Social Security Administration,,140 UNION STREET,LYNN,MA,01901,(800) 772-1213,,,
30,035,FO,LOWELL MA,Social Security Administration,STE 300,151 WARREN ST,LOWELL,MA,01852,(877) 746-9850,,,
31,036,FO,WORCESTER MA,Social Security Administration,MADISON PLACE,51 Myrtle St,WORCESTER,MA,01608,(866) 331-9069,,,
32,037,FO,PITTSFIELD MA,Social Security Administration,FEDERAL BLDG SUITE 101,78 CENTER ST,PITTSFIELD,MA,01201,(866) 446-7111,,,
33,038,FO,NEW BEDFORD MA,Social Security Administration,HASTINGS KEITH FED BLD,53 NORTH 6TH STREET,NEW BEDFORD,MA,02740,(866) 964-7413,,,
34,039,FO,BROCKTON MA,Social Security Administration,,30 CHRISTY'S DRIVE,BROCKTON,MA,02301,(888) 717-1524,,,
